Genre Group,Count
Mystery/TV Movie/Crime/Drama,1
Fantasy/Horror/War,1
Music/Romance/Western,1
Fantasy/Reality-TV,1
Action/Musical/Mystery,1
Horror/Romance/Western,1
Action/Fantasy/History,1
Romance/Drama/Action/Family,1
Action/Romance/War,1
Adventure/Animation/Horror,1
Animation/Thriller,1
Fantasy/Romance/Sci-Fi,1
Comedy/Fantasy/Reality-TV,1
History/Romance/Western,1
Family/Mystery/Sci-Fi,1
Adventure/Crime/Documentary,1
Reality-TV/Thriller,1
Biography/History/Reality-TV,1
Adventure/Sci-Fi/Western,1
Comedy/Fantasy/Sport,1
Action/Music/Western,1
Music/Family/Drama,1
Comedy/Musical/Thriller,1
Animation/History/Horror,1
TV Movie/Crime/Mystery,1
Mystery/Thriller/Western,1
Crime/Mystery/Drama,1
Sci-Fi/Thriller/War,1
Comedy/Short/Talk-Show,1
Crime/Drama/Reality-TV,1
Documentary/Fantasy/Horror,1
Action/Romance/Short,1
Documentary/Music/Romance,1
Animation/History/Musical,1
Comedy/Thriller/Western,1
Biography/Documentary/Reality-TV,1
Comedy/Romance/Talk-Show,1
Family/Sci-Fi/Sport,1
Animation/Music/Mystery,1
History/War/Western,1
Music/Musical/Romance,1
Film-Noir/Horror,1
Adventure/Sport/Talk-Show,1
Comedy/Music/Thriller,1
Mystery/Crime/TV Movie,1
Comedy/Documentary/Talk-Show,1
Music/TV Movie,1
Documentary/Drama/Musical,1
Fantasy/Musical/Sci-Fi,1
Adventure/Family/Horror,1
Drama/Sci-Fi/Sport,1
Horror/Comedy,1
Animation/Comedy/Western,1
Action/Adventure/Musical,1
Romance/Family/Drama,1
Family/Drama/Comedy,1
Drama/Comedy/Family,1
Drama/Romance/Family,1
Drama/War/Romance,1
Animation/Family/Game-Show,1
Crime/News/Thriller,1
Family/Mystery/Short,1
Comedy/Sci-Fi/Western,1
Fantasy/Sci-Fi/Western,1
Crime/History/Thriller,1
Drama/Musical/Sport,1
Crime/Comedy,1
Biography/Comedy/Reality-TV,1
Documentary/Drama/Thriller,1
Comedy/Horror/Sport,1
Drama/Science Fiction,1
Fantasy/Horror/Reality-TV,1
Action/Fantasy/War,1
Fantasy/History/Sci-Fi,1
Documentary/Talk-Show/Thriller,1
Comedy/Documentary/Thriller,1
Action/Documentary/Sci-Fi,1
Drama/Crime/Thriller,1
Science Fiction/Comedy/Drama,1
Comedy/Crime/Short,1
Adventure/Fantasy/Western,1
Game-Show/Reality-TV/Thriller,1
Comedy/Musical/Western,1
Adventure/Animation/Documentary,1
Animation/Crime/Family,1
Biography/Horror/Thriller,1
Animation/Fantasy/History,1
Drama/Documentary,1
Biography/Reality-TV,1
Adventure/Reality-TV/Thriller,1
War/Drama,1
Animation/History,1
Adventure/Game-Show/Mystery,1
Game-Show/Musical,1
Documentary/Crime,1
Action/Sci-Fi/War,1
Crime/Documentary/Short,1
Animation/Game-Show,1
Family/Fantasy/Western,1
Adventure/Game-Show,1
Biography/History/Short,1
Music/Documentary/TV Movie,1
Animation/Romance/Sci-Fi,1
History/Sci-Fi,1
Documentary/History/Thriller,1
Adventure/History/Reality-TV,1
Animation/Sci-Fi/Thriller,1
Action/Drama/Game-Show,1
Animation/Drama/Thriller,1
Comedy/Game-Show/Music,1
Family/Animation,1
Animation/Documentary/Family,1
Biography/History/Sport,1
Adventure/Game-Show/Horror,1
Sci-Fi/Western,1
Comedy/Documentary/Western,1
Biography/History/Mystery,1
Documentary/Family/Western,1
Action/Family/War,1
Biography/Crime/Horror,1
Action/Adventure/Reality-TV,1
Comedy/Game-Show/Horror,1
Drama/Action & Adventure,1
Reality-TV/Sci-Fi,1
Comedy/Romance/Drama,1
Animation/Kids,1
Biography/Documentary/Horror,1
Game-Show/Romance,1
Thriller/Crime/Drama,1
Crime/Horror/Musical,1
Drama/History/Action,1
Crime/Drama/Romance/Comedy,1
Drama/Music/War,1
Family/Game-Show/Sport,1
Horror/Talk-Show,1
Biography/Thriller/War,1
Crime/History/Reality-TV,1
Documentary/Sport/Talk-Show,1
Adult/Animation,1
Documentary/News/Romance,1
Crime/Fantasy/Thriller,1
History/Horror/Romance,1
Documentary/Family/Musical,1
Crime/Horror/Music,1
Family/Horror/Mystery,1
Documentary/Family/Fantasy,1
Adventure/Documentary/Western,1
Adult/Animation/Fantasy,1
Science Fiction/Drama/Fantasy,1
Crime/Game-Show/Reality-TV,1
Fantasy/Mystery/War,1
Action/Romance/Sport,1
Family/Mystery/Romance,1
Game-Show/Talk-Show,1
News/Reality-TV,1
Comedy/Crime/Western,1
Action/Biography/Thriller,1
Horror/Reality-TV/Thriller,1
Documentary/Music/War,1
Comedy/Horror/Talk-Show,1
Adventure/Romance/War,1
Documentary/Music/Sport,1
Biography/Fantasy,1
Fantasy/Musical/Mystery,1
Fantasy/Horror/Western,1
Adventure/Documentary/Sci-Fi,1
Game-Show/Horror,1
Comedy/Short/Western,1
Comedy/Family/Drama/Romance,1
Animation/Fantasy/Musical,1
Mystery/Reality-TV/Sci-Fi,1
Animation/Documentary/Musical,1
Fantasy/Mystery/Short,1
Comedy/History/Music,1
Action/Short/Thriller,1
Musical/Thriller,1
Fantasy/Music,1
Animation/Short/War,1
Family/Sci-Fi/Thriller,1
Crime/Family/Sci-Fi,1
Documentary/News/Talk-Show,1
Drama/Mystery/Reality-TV,1
Adult/Comedy,1
Crime/TV Movie/Thriller/Mystery,1
Adult/Drama,1
History/Drama,1
Comedy/Drama/Romance/Music,1
Action/Horror/Western,1
Action/Sci-Fi/Short,1
Biography/Thriller/Western,1
Family/Documentary/Reality,1
Family/War,1
Documentary/News/War,1
Comedy/Documentary/Short,1
Comedy/Music/Sci-Fi,1
Documentary/Music/Reality-TV,1
Family/Kids/Animation,1
Documentary/History/Romance,1
Adventure/Crime/History,1
Biography/Talk-Show,1
Adventure/Sport,1
Adventure/Romance/Sport,1
Drama/Comedy/Horror,1
Biography/War,1
Comedy/Documentary/Romance,1
Comedy/History/Talk-Show,1
Adventure/Biography/Western,1
Drama/Mystery/Sport,1
History/Thriller/War,1
Crime/Drama/Game-Show,1
Documentary/Fantasy/Music,1
Documentary/Family/Romance,1
Animation/Documentary/Fantasy,1
Mystery/Sci-Fi/Short,1
Drama/Musical/Sci-Fi,1
History/Sport/Thriller,1
Drama/Musical/Western,1
Comedy/Sport/Talk-Show,1
History/Romance/War,1
Biography/Comedy/Game-Show,1
Comedy/Documentary/Sci-Fi,1
Crime/Short/Thriller,1
