Genre Group,Count
Action/Comedy/Family,40
Animation/Drama/Romance,40
Adventure/Comedy/Romance,40
Drama/Family/Sport,40
Action/Fantasy,39
Adventure/Drama/Sci-Fi,39
Action/Comedy/Sci-Fi,38
Documentary/History/Music,38
Comedy/Drama/War,38
Action/Adventure/Mystery,38
Action/Drama/Family,38
Action/Fantasy/Sci-Fi,38
Action/Horror/Mystery,38
Biography/Drama/Family,38
Adventure/Sci-Fi,37
Drama/Romance/Western,37
Action/Mystery/Thriller,36
Fantasy/Romance,35
Animation/Drama,34
Musical/Romance,34
Crime/Documentary/Drama,34
Animation/Family/Short,33
Action/Crime/Sci-Fi,32
Drama/Family/Musical,32
Animation/Fantasy,32
Animation/Comedy/Sci-Fi,32
Comedy/Talk-Show,31
Adventure/Drama/Western,31
Action/Western,31
Comedy/Documentary/Drama,31
Comedy/Crime/Family,31
Adventure/Biography/Documentary,30
Comedy/Romance/Sport,30
Action/Adventure/Romance,30
Fantasy/Horror/Sci-Fi,30
Animation/Sport,29
Crime/Drama/Music,29
Adventure/Fantasy/Horror,29
Adventure/Animation,29
Adventure/Drama/War,28
Comedy/Mystery/Thriller,27
Comedy/History,27
Biography/Drama/Thriller,27
Adventure/Comedy/Sci-Fi,27
Biography/Comedy/Crime,27
Animation/Comedy/Short,27
Drama/Family/Music,27
Adventure/Comedy/Horror,27
Animation/Family/Musical,27
Drama/Fantasy/Sci-Fi,27
Action/Adventure/Biography,27
Comedy/Horror/Romance,26
Adventure/Horror,26
Crime/Mystery/Romance,26
Comedy/War,26
Comedy/Romance/Sci-Fi,26
Action/Adventure/History,26
Drama/Romance/Short,25
Documentary/History/Sport,25
Animation/Drama/Music,24
Adventure/Horror/Thriller,24
Action/Drama/Musical,24
Documentary/History/News,24
Adventure/Documentary/Drama,24
Action/Adventure/Documentary,23
Documentary/Drama/Sport,23
Mystery/Sci-Fi,23
Comedy/Drama/Short,22
Action/Romance/Thriller,22
Drama/Fantasy/Thriller,22
Action/Adventure/War,22
Action/Mystery/Sci-Fi,22
Animation/Drama/Sport,21
Adventure/Horror/Sci-Fi,21
Adventure/Western,21
Animation/Drama/Horror,21
Comedy/Family/Music,20
Drama/Family/Mystery,20
Animation/Sci-Fi,20
Animation/Comedy/Crime,20
Comedy/Fantasy/Sci-Fi,20
Drama/History/Mystery,20
Documentary/Drama/Family,19
Comedy/Mystery/Romance,19
Reality,19
Animation/Drama/Mystery,19
Comedy/Romance/Thriller,19
Comedy/Game-Show,19
Adventure/Thriller,19
Drama/Family/History,19
Adventure/Family/Sci-Fi,19
Comedy/Family/Sport,19
Crime/Romance/Thriller,19
Action/Thriller/War,19
Documentary/Sci-Fi,19
Drama/Family/Western,18
Crime/Reality-TV,18
Animation/Biography/Documentary,18
Game-Show/Reality-TV/Romance,18
Adventure/Horror/Mystery,18
Biography/Comedy,18
Drama/Thriller/Western,18
Animation/Crime/Drama,18
Crime/Drama/Sport,18
Mystery/Romance,18
Biography/History,18
Comedy/Family/Sci-Fi,17
Biography/Documentary/Family,17
Family/Fantasy/Musical,17
Drama/Fantasy/History,17
Adventure/Documentary/History,17
Comedy/Music/Musical,17
Adventure/Fantasy/Sci-Fi,17
Documentary/History/Mystery,17
Adventure/Documentary/Sport,16
Adventure/Animation/Sci-Fi,16
Biography/Drama/Mystery,16
Drama/Family/Thriller,16
Comedy/Drama/Western,16
Family/Music,16
Crime/Drama/Family,16
History/War,16
Family/Sci-Fi,16
Adventure/Romance,16
Action/Animation/Family,15
Animation/Drama/Short,15
Fantasy/Thriller,15
Action/Comedy/Mystery,15
Action/Crime/Romance,15
Short/Thriller,15
Romance/Western,15
Mystery/Romance/Thriller,15
Horror/Mystery/Romance,15
Action/Adventure/Western,14
